accuracy,.lower,.upper,.width,.point,.interval,p_above_chance,p_above_random,OverlapWithRandom,list,model
0.7712121212121212,0.7712121212121212,0.7712121212121212,0.95,median,hdi,1,1,2.72470870597128e-05,unigram_contrast,AGSimple
0.6257575757575757,0.6257575757575757,0.6257575757575757,0.95,median,hdi,1,0.996,0.0213392907938311,bigram_contrast,AGSimple
0.7272727272727273,0.7272727272727273,0.7272727272727273,0.95,median,hdi,1,1,9.50148842500047e-05,both_contrast,AGSimple
